Price,Close,High,Low,Open,Volume
Ticker,DBK,DBK,DBK,DBK,DBK
Date,,,,,
2007-12-28,148.5,149.0,147.5,147.89999389648438,2490
2008-01-03,143.8000030517578,144.5,142.89999389648438,143.6999969482422,1200
2008-01-04,145.0,145.0,143.0,143.0,2700
2008-01-07,140.6999969482422,142.5,140.6999969482422,141.6999969482422,2369
2008-01-08,140.0,143.0,140.0,143.0,1168
2008-01-09,138.39999389648438,139.6999969482422,138.1999969482422,139.6999969482422,1386
2008-01-10,137.89999389648438,137.89999389648438,136.8000030517578,137.39999389648438,3351
2008-01-11,137.0,137.0,136.0,136.0,2195
2008-01-14,138.1999969482422,139.10000610351562,137.0,137.0,2170
2008-01-15,135.0,137.0,134.5,137.0,670
2008-01-16,130.60000610351562,133.5,128.8000030517578,133.5,5745
2008-01-17,133.0,133.6999969482422,131.8000030517578,133.1999969482422,2925
2008-01-18,128.0,130.0,126.0,128.5,4060
2008-01-22,123.9000015258789,123.9000015258789,105.0,107.0,6670
2008-01-23,117.5,119.4000015258789,114.4000015258789,119.4000015258789,3100
2008-01-24,124.5,124.80000305175781,121.30000305175781,121.30000305175781,3121
2008-01-25,124.19999694824219,128.6999969482422,124.19999694824219,127.0,4697
2008-01-28,121.0999984741211,121.0999984741211,120.0,120.0,3915
2008-01-29,124.5999984741211,125.30000305175781,123.19999694824219,123.80000305175781,1333
2008-01-30,124.30000305175781,124.30000305175781,124.30000305175781,124.30000305175781,79
2008-01-31,119.5,119.69999694824219,119.5,119.69999694824219,2350
2008-02-01,121.69999694824219,121.69999694824219,121.19999694824219,121.19999694824219,1650
2008-02-04,124.30000305175781,126.9000015258789,124.30000305175781,125.80000305175781,1767
2008-02-05,119.4000015258789,124.0,119.4000015258789,124.0,1400
2008-02-06,120.30000305175781,120.30000305175781,116.30000305175781,116.5999984741211,11860
2008-02-07,120.0,124.0,119.0,124.0,16869
2008-02-08,122.80000305175781,123.4000015258789,120.0,122.5,7400
2008-02-11,119.69999694824219,122.19999694824219,119.4000015258789,120.30000305175781,3546
2008-02-12,122.5999984741211,122.9000015258789,118.0,121.9000015258789,6898
2008-02-13,122.5999984741211,125.69999694824219,122.5999984741211,123.69999694824219,6230
2008-02-14,123.0,125.69999694824219,122.0,125.5999984741211,9156
2008-02-15,119.5,121.80000305175781,118.9000015258789,121.80000305175781,1363
2008-02-19,124.19999694824219,124.19999694824219,120.0,121.0,2084
2008-02-20,120.30000305175781,121.9000015258789,120.30000305175781,121.4000015258789,1500
2008-02-21,123.19999694824219,124.0999984741211,122.4000015258789,122.4000015258789,1850
2008-02-22,119.80000305175781,121.69999694824219,119.80000305175781,121.69999694824219,2737
2008-02-25,121.5999984741211,124.4000015258789,121.5999984741211,122.5,1655
2008-02-26,123.80000305175781,125.0,123.5999984741211,123.5999984741211,1225
2008-02-27,123.4000015258789,124.5,123.4000015258789,124.5,450
2008-02-28,123.0999984741211,123.0999984741211,121.5,121.5999984741211,3600
2008-02-29,117.19999694824219,120.69999694824219,117.19999694824219,120.69999694824219,1112
2008-03-03,115.0,115.69999694824219,114.30000305175781,115.69999694824219,2500
2008-03-04,113.0999984741211,115.19999694824219,113.0999984741211,113.5,1950
2008-03-05,115.30000305175781,116.0,113.9000015258789,113.9000015258789,1015
2008-03-06,113.0999984741211,114.5999984741211,112.80000305175781,113.5,1565
2008-03-07,111.0,112.19999694824219,109.30000305175781,111.0,7069
2008-03-10,108.19999694824219,112.0,108.19999694824219,111.4000015258789,920
2008-03-11,112.5,114.30000305175781,108.0999984741211,108.0999984741211,685
2008-03-12,115.4000015258789,118.0,115.4000015258789,116.80000305175781,2870
2008-03-13,112.5999984741211,112.5999984741211,109.9000015258789,112.5,2246
2008-03-14,109.30000305175781,113.0,109.0,112.0999984741211,1006
2008-03-17,102.69999694824219,105.0,101.30000305175781,105.0,4736
2008-03-18,109.5,109.5,103.69999694824219,103.69999694824219,1734
2008-03-19,110.5,110.69999694824219,110.30000305175781,110.5,1631
2008-03-20,111.0999984741211,111.0999984741211,107.9000015258789,108.0999984741211,1098
2008-03-25,115.69999694824219,116.5,115.0,115.0,2427
2008-03-26,113.0,114.0,113.0,114.0,290
2008-03-27,115.4000015258789,115.4000015258789,113.0,114.30000305175781,532
2008-03-28,114.69999694824219,115.30000305175781,114.0999984741211,114.0999984741211,268
2008-03-31,112.30000305175781,112.30000305175781,111.0999984741211,111.4000015258789,720
2008-04-01,118.30000305175781,118.30000305175781,113.0999984741211,113.0999984741211,2244
2008-04-02,121.4000015258789,121.5,119.0,119.0,2064
2008-04-03,119.0,121.5,117.69999694824219,121.5,2370
2008-04-04,119.0,119.30000305175781,118.30000305175781,119.0,2690
2008-04-07,122.0,122.0,119.5,119.5,6078
2008-04-08,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,200
2008-04-09,120.0999984741211,120.69999694824219,119.9000015258789,120.0999984741211,520
2008-04-10,116.80000305175781,116.80000305175781,116.80000305175781,116.80000305175781,150
2008-04-11,115.69999694824219,116.0,115.4000015258789,116.0,309
2008-04-14,113.9000015258789,114.9000015258789,113.5,114.5999984741211,445
2008-04-15,113.5999984741211,115.19999694824219,113.5999984741211,114.0,702
2008-04-16,116.0,116.69999694824219,116.0,116.30000305175781,725
2008-04-17,120.0,120.0999984741211,119.0,119.0,4180
2008-04-18,126.0,126.0,121.4000015258789,121.4000015258789,290
