Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2000-01-03,57.41361999511719,57.41361999511718,55.3719751263491,55.650379090363224,10823694
2000-01-04,55.46475601196289,56.671184594352965,54.87700926026406,56.42371186207647,8606279
2000-01-05,57.41361999511719,59.26966617104197,55.495711538077416,55.89785191381986,13318927
2000-01-06,56.423709869384766,58.86749807701976,56.176237145848155,58.40348770784642,8338607
2000-01-07,56.17623519897461,58.372550606956324,54.75326906286979,58.032276611344,12402108
2000-01-10,58.40349578857422,59.08404389754516,57.10426578516072,58.032286651908684,8933363
2000-01-11,58.89842987060547,59.95018691207202,57.72293647427045,58.34161824861282,8235472
2000-01-12,59.145904541015625,60.38326418088759,58.5272227461641,59.20777074558523,7116775
2000-01-13,58.527217864990234,59.888317700147795,57.28985437848337,59.362437230924684,8880226
2000-01-14,59.2077751159668,61.03288555804033,58.15601796200001,59.85739203596971,11460604
2000-01-18,57.28984069824219,59.26962180390124,56.918635690760944,59.23868673666786,7995519
2000-01-19,59.145904541015625,60.38326418088759,55.7740917214481,57.197057874691076,9031687
2000-01-20,58.89842987060547,61.74436208274941,58.89842987060547,60.87820759867009,18601436
2000-01-21,60.135780334472656,60.878194352312235,59.362427297359204,60.32138285147502,8230660
2000-01-24,60.135780334472656,60.816328163254816,57.691988845017455,60.32138285147502,6798163
2000-01-25,58.9603157043457,59.14592227336282,57.41361272842042,57.78482191662236,7255997
2000-01-26,57.784793853759766,59.36243114998921,57.41358484583341,58.929355948990306,5120275
2000-01-27,56.17623519897461,58.62002332191638,55.24821449278991,58.40348568378409,8707532
2000-01-28,55.21727752685547,56.5165072610307,54.47485940737508,55.80502421731972,6976192
2000-01-31,55.557559967041016,55.83596779167934,54.25833003511471,55.12448463967609,6488024
2000-02-01,54.44394302368164,56.145317477494274,54.01086761354705,55.619436808188894,7640716
2000-02-02,56.17623519897461,57.32079354329159,54.629532705389764,55.433817054094426,8062254
2000-02-03,57.97038650512695,58.15598898990372,56.45461576352253,56.9186298751233,6499635
2000-02-04,57.22800064086914,58.62003190394079,56.82585643272701,58.49629552834565,5653944
2000-02-07,56.48558807373047,57.8466883422997,55.990642521523476,57.41360900920256,6045357
2000-02-08,58.86752700805664,58.96042596876309,57.56692969620064,57.938525539026465,5715658
2000-02-09,58.15528869628906,59.332019280590345,57.96948684119575,58.96041952439182,5621936
2000-02-10,59.02235794067383,59.02235794067382,57.90756249195294,58.310125977439924,4651144
2000-02-11,57.16438293457031,59.1772129297604,56.76181535393631,58.99141494115392,6013872
2000-02-14,57.5050048828125,57.65983914815449,56.73084146408109,57.47403723894625,4753024
2000-02-15,58.03142166137695,58.186251926435936,56.4211560636565,57.412088739176774,5415665
2000-02-16,57.35013961791992,58.12430657217906,57.10240650887597,57.72173928148586,4149377
2000-02-17,57.84562301635742,58.898487065504916,57.3501566511143,57.72175642504664,5478425
2000-02-18,55.73988723754883,57.44305164489248,55.24442094057702,57.10241560023355,8026376
2000-02-22,54.9967155456543,56.20441426547968,53.88191976888452,55.49218209265853,8006921
2000-02-23,53.88187789916992,54.748939728674294,53.758011358671205,54.748939728674294,7777324
2000-02-24,54.748985290527344,54.99671857768728,53.60322180290509,53.912886434860035,9531152
2000-02-25,53.510292053222656,54.439289369128346,51.99292555298982,54.439289369128346,10786561
2000-02-28,51.77617263793945,52.76710545814513,51.4974757477481,51.83810791619664,8869975
2000-02-29,50.909122467041016,52.302619110970575,50.01108839691627,52.302619110970575,10967205
2000-03-01,49.67044448852539,52.271639194883925,49.577545524867304,50.53751070864113,11304959
2000-03-02,51.094913482666016,52.240676706731165,49.298849540895596,49.794316001244546,11707773
2000-03-03,53.510292053222656,54.501220678327805,52.55032710572339,53.13869233606284,10630289
2000-03-06,51.0639533996582,54.99671406837859,50.042056639403626,54.47028384181943,11241780
2000-03-07,51.03297424316406,53.014839930968826,50.382677529844685,52.51937350901763,10496715
2000-03-08,52.64322280883789,52.95288724376549,50.90909485606595,51.03295746684703,8761714
2000-03-09,53.510292053222656,53.510292053222656,51.590362158224124,52.76709261890303,6625469
2000-03-10,52.147796630859375,54.0057925764662,52.02392997088623,53.3245279236091,7419487
2000-03-13,53.35547637939453,54.005773144779006,50.78524905222701,51.528444790667976,8233066
2000-03-14,53.820003509521484,54.50126827561916,53.200670106709445,53.38647210454863,8340490
2000-03-15,53.01483154296875,53.63416447241696,52.58129651536095,53.26256471474804,5926531
2000-03-16,54.005802154541016,54.40836985934786,53.44840406280101,54.005802154541016,6927135
2000-03-17,54.50123977661133,55.33733844470906,53.35547654602851,53.63417742005745,9264736
2000-03-20,55.86374282836914,56.173407226099236,54.470247107603235,54.501210779585364,6865421
2000-03-21,56.23540115356445,56.8237668909382,55.46123342049889,55.8947687744524,7083094
2000-03-22,56.60696792602539,57.164365677565364,56.42116603951955,56.73083453236636,6420139
2000-03-23,57.10243225097656,57.41210075387538,55.30637233171457,57.41210075387538,6791050
2000-03-24,59.76557922363281,60.57071044067272,57.00954933262118,57.16438362766386,12683378
2000-03-27,62.862213134765625,63.54347740024122,61.74741382890607,61.93321569021011,12408593
